Component            Module                sub_Module               DataFile
TE                   kopp14                sterodynamics            k14sterodynamics.kopp14.sterodynamics_localsl.nc
TE                   ipccar5               thermalexpansion         ar5TE.ipccar5.thermalexpansion_localsl.nc
Glaciers             kopp14                glaciers                 k14glaciers.kopp14.glaciers_localsl.nc
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_localsl.nc
GrIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_GIS_localsl.nc
GrIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_GIS_localsl.nc
AIS                  deconto16             AIS                      deconto16.deconto16.AIS_AIS_localsl.nc
EAIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_EAIS_localsl.nc
EAIS                 deconto16             AIS                      deconto16.deconto16.AIS_EAIS_localsl.nc
EAIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_EAIS_localsl.nc
WAIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_WAIS_localsl.nc
WAIS                 deconto16             AIS                      deconto16.deconto16.AIS_WAIS_localsl.nc
EAIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_WAIS_localsl.nc
LWS                  kopp14                landwaterstorage         k14lws.kopp14.landwaterstorage_localsl.nc 
VLM                  kopp14                verticallandmotion       k14vlm.kopp14.verticallandmotion_localsl.nc
