Component            Module                sub_Module               DataFile
#GSAT                 fair                  temperature              temperature.fair.temperature_climate.nc
GSAT                 fair                  temperature              temperature.fair.temperature_gsat.nc
GSAT                 fair                  temperature              temperature.fair.temperature_oceantemp.nc
GSAT                 fair                  temperature              temperature.fair.temperature_ohc.nc
TE                   kopp14                sterodynamics            k14sterodynamics.kopp14.sterodynamics_globalsl.nc
TE                   ipccar5               thermalexpansion         ar5TE.ipccar5.thermalexpansion_globalsl.nc
Glaciers             kopp14                glaciers                 k14glaciers.kopp14.glaciers_globalsl.nc
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_globalsl.nc
GrIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_GIS_globalsl.nc
GrIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_GIS_globalsl.nc
AIS                  ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_AIS_globalsl.nc
AIS                  deconto16             AIS                      deconto16.deconto16.AIS_AIS_globalsl.nc
EAIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_EAIS_globalsl.nc
EAIS                 deconto16             AIS                      deconto16.deconto16.AIS_EAIS_globalsl.nc
EAIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_EAIS_globalsl.nc
WAIS                 ipccar5               icesheets                ar5icesheets.ipccar5.icesheets_WAIS_globalsl.nc
WAIS                 deconto16             AIS                      deconto16.deconto16.AIS_WAIS_globalsl.nc
EAIS                 kopp14                icesheets                k14icesheets.kopp14.icesheets_WAIS_globalsl.nc
LWS                  kopp14                landwaterstorage         k14lws.kopp14.landwaterstorage_globalsl.nc 
