Component            Module                sub_Module               DataFile
#GSAT                 fair                  temperature              temperature.fair.temperature_climate.nc
GSAT                 fair                  temperature              temperature.fair.temperature_gsat.nc
GSAT                 fair                  temperature              temperature.fair.temperature_oceantemp.nc
GSAT                 fair                  temperature              temperature.fair.temperature_ohc.nc
TE                   tlm                   sterodynamics            ocean.tlm.sterodynamics_globalsl.nc
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_globalsl.nc
Glaciers             emulandice            glaciers                 emuglaciers.emulandice.glaciers_globalsl.nc             
GrIS                 bamber19              icesheets                bamber19.bamber19.icesheets_GIS_globalsl.nc
GrIS                 FittedISMIP           GrIS                     GrIS1f.FittedISMIP.GrIS_GIS_globalsl.nc
GrIS                 emulandice            GrIS                     emuGrIS.emulandice.GrIS_globalsl.nc                  
AIS                  ipccar5               icesheets                ar5AIS.ipccar5.icesheets_AIS_globalsl.nc
AIS                  bamber19              icesheets                bamber19.bamber19.icesheets_AIS_globalsl.nc
AIS                  deconto21             AIS                      deconto21.deconto21.AIS_AIS_globalsl.nc
AIS                  emulandice            AIS                      emuAIS.emulandice.AIS_globalsl.nc
AIS                  larmip                AIS                      larmip.larmip.AIS_globalsl.nc
EAIS                 ipccar5               icesheets                ar5AIS.ipccar5.icesheets_EAIS_globalsl.nc
EAIS                 bamber19              icesheets                bamber19.bamber19.icesheets_EAIS_globalsl.nc
EAIS                 deconto21             AIS                      deconto21.deconto21.AIS_EAIS_globalsl.nc
EAIS                 emulandice            AIS                      emuAIS.emulandice.AIS_EAIS_globalsl.nc
EAIS                 larmip                AIS                      larmip.larmip.AIS_EAIS_globalsl.nc
WAIS                 ipccar5               icesheets                ar5AIS.ipccar5.icesheets_WAIS_globalsl.nc
WAIS                 ipccar5               icesheets                bamber19.bamber19.icesheets_WAIS_globalsl.nc
WAIS                 deconto21             AIS                      deconto21.deconto21.AIS_WAIS_globalsl.nc
WAIS                 emulandice            AIS                      emuAIS.emulandice.AIS_WAIS_globalsl.nc
WAIS                 larmip                AIS                      larmip.larmip.AIS_WAIS_globalsl.nc
PEN                  emulandice            AIS                      emuAIS.emulandice.AIS_PEN_globalsl.nc
PEN                  larmip                AIS                      larmip.larmip.AIS_PEN_globalsl.nc
SMB                  larmip                AIS                      larmip.larmip.AIS_SMB_globalsl.nc
LWS                  ssp                   landwaterstorage         lws.ssp.landwaterstorage_globalsl.nc
