Component            Module                sub_Module               DataFile
#GSAT                 fair                  temperature              temperature.fair.temperature_climate.nc
TE                   tlm                   sterodynamics            ocean.tlm.sterodynamics_globalsl.nc
TE                   ipccar5               thermalexpansion         XXX
Glaciers             kopp14                glaciers                 XXX
Glaciers             ipccar5               glaciers                 ar5glaciers.ipccar5.glaciers_globalsl.nc
Glaciers             ipccar6               gmipemuglaciers          XXX
Glaciers             emulandice            glaciers                 emuglaciers.emulandice.glaciers_globalsl.nc             
GrIS                 ipccar5               icesheets                XXX
GrIS                 bamber19              icesheets                bamber19.bamber19.icesheets_GIS_globalsl.nc
GrIS                 ipccar6               ismipemuicesheets        XXX
GrIS                 kopp14                icesheets                XXX
GrIS                 FittedISMIP           GrIS                     GrIS1f.FittedISMIP.GrIS_GIS_globalsl.nc
GrIS                 emulandice            GrIS                     emuGrIS.emulandice.GrIS_globalsl.nc   
AIS                  ipccar5               icesheets                ar5AIS.ipccar5.icesheets_AIS_globalsl.nc
AIS                  ipccar6               ismipemuicesheets        XXX
AIS                  kopp14                icesheets                XXX
AIS                  deconto16             AIS                      XXX
AIS                  deconto21             AIS                      deconto21.deconto21.AIS_AIS_globalsl.nc
AIS                  emulandice            AIS                      emuAIS.emulandice.AIS_globalsl.nc
AIS                  ipccar6               larmipAIS                XXX
AIS                  larmip                AIS                      larmip.larmip.AIS_globalsl.nc
LWS                  kopp14                landwaterstorage         XXX
LWS                  ssp                   landwaterstorage         lws.ssp.landwaterstorage_globalsl.nc








